id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
22188,3332492462,5.025155787881509,40.5188814,-3.7770563,"(40.518881399999998, -3.7770562999999999)",FUENCARRAL-EL PARDO,EL PARDO,MU-16,"434179,6776","4485642,634",-3.777003288269043,40.51890182495117,"(40.518902, -3.7770033)"
40076,3332492470,6.018391081996169,40.5189677,-3.7769967,"(40.518967699999997, -3.7769967000000002)",FUENCARRAL-EL PARDO,EL PARDO,MU-16,"434177,6777","4485655,634",-3.7770280838012695,40.51901626586914,"(40.519016, -3.7770281)"
1487,3391731537,5.2869901655956175,40.4244857,-3.6888933,"(40.424485699999998, -3.6888933000000002)",SALAMANCA,RECOLETOS,MU-15F,"441556,5866","4475099,519",-3.6889545917510986,40.424476623535156,"(40.424477, -3.6889546)"
33183,3428424997,7.738259730821918,40.4109289,-3.6927015,"(40.410928900000002, -3.6927015000000001)",CENTRO,CORTES,BA-31,"441232,9049","4473593,5",-3.6926307678222656,40.410884857177734,"(40.410885, -3.6926308)"
16051,3428424997,6.3026738012533405,40.4109289,-3.6927015,"(40.410928900000002, -3.6927015000000001)",CENTRO,CORTES,BA-31,"441225,6249","4473592,09",-3.692716598510742,40.41087341308594,"(40.410873, -3.6927166)"
50126,3459875744,5.415458694571224,40.4707687,-3.7191152,"(40.470768700000001, -3.7191152000000001)",MONCLOA-ARAVACA,VALDEZARZA,MU-17,"439044,6246","4480255,56",-3.7190592288970947,40.47074508666992,"(40.470745, -3.7190592)"
28163,3459875746,6.245301984848327,40.4708271,-3.7192628,"(40.470827100000001, -3.7192628000000001)",MONCLOA-ARAVACA,VALDEZARZA,MU-17,"439021,6248","4480262,56",-3.7193312644958496,40.47080612182617,"(40.470806, -3.7193313)"
17731,3489041957,5.773957060878697,40.4721087,-3.7001075,"(40.4721087, -3.7001075000000001)",TETUÁN,ALMENARA,MU-17,"440647,6051","4480397,452",-3.700164318084717,40.472137451171875,"(40.472137, -3.7001643)"
10941,3590492310,9.34497609979144,40.4717914,-3.6954974,"(40.471791400000001, -3.6954973999999998)",TETUÁN,ALMENARA,MU-16,"441049,6023","4480349,448",-3.695417881011963,40.47173309326172,"(40.471733, -3.6954179)"
39586,3627378736,9.471371500664027,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",VILLAVERDE,SAN ANDRÉS,MU-15A,"439465,4693","4466269,482",-3.7127647399902344,40.34477996826172,"(40.34478, -3.7127647)"
