DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,,50_LTS,439001.8824,4476369.121,-3.7191898822784424,40.43572998046875,node/4456027492,40.4360181,-3.7190607,"(40.436018099999998, -3.7190607)",,33.86115840960535,"(40.436018099999998, -3.7190607)"
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,,50_LTS,438952.9787,4476405.042,-3.7197699546813965,40.43605041503906,node/4456027695,40.4363654,-3.7197461,"(40.4363654, -3.7197461000000001)",,35.092753142250174,"(40.4363654, -3.7197461000000001)"
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,,50_LTS,438983.6117,4476417.003,-3.719409942626953,40.436161041259766,node/4456027492,40.4360181,-3.7190607,"(40.436018099999998, -3.7190607)",,33.56968896589483,"(40.436018099999998, -3.7190607)"
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,"AVENIDA DE LOS REYES CATOLICOS,6",50_LTS,438803.9164,4476536.137,-3.7215399742126465,40.43722152709961,node/4456021893,40.4371485,-3.7210201,"(40.437148499999999, -3.7210201000000001)",,44.75386677907253,"(40.437148499999999, -3.7210201000000001)"
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,,MU-14B,438819.6093,4476542.548,-3.721355676651001,40.437278747558594,node/4456021893,40.4371485,-3.7210201,"(40.437148499999999, -3.7210201000000001)",,31.88923042294754,"(40.437148499999999, -3.7210201000000001)"
CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE AFRICA,7",50_LTS,444586.6428,4476507.783,-3.653359889984131,40.43737030029297,node/2835692875,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",,45.27531059584782,"(40.437757099999999, -3.6535264999999999)"
CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE AFRICA,7",50_LTS,444572.3313,4476522.32,-3.6535298824310303,40.4375,node/2835692875,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",,28.597703811459784,"(40.437757099999999, -3.6535264999999999)"
CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DEL ROCIO,1",50_LTS,444557.1553,4476534.643,-3.653709888458252,40.4376106262207,node/2835692875,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",,22.504263464526343,"(40.437757099999999, -3.6535264999999999)"
CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE LOS REYES,1",50_LTS,444591.1216,4476539.942,-3.6533100605010986,40.437660217285156,node/2835692875,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)",,21.25665927607377,"(40.437757099999999, -3.6535264999999999)"
CIUDAD LINEAL,CONCEPCIÓN,"CALLE DE LA VIRGEN DE LOS REYES,1",50_LTS,444570.8239,4476547.862,-3.653549909591675,40.43772888183594,node/2803101536,40.4380724,-3.6537713,"(40.438072400000003, -3.6537712999999998)",,42.55734589877853,"(40.438072400000003, -3.6537712999999998)"
