id_OSM,LATITUD,LONGITUD,coord
node/3224995088,40.4175516,-3.6809288,"(40.417551600000003, -3.6809287999999998)"
node/3224995089,40.4176265,-3.6812056,"(40.417626499999997, -3.6812056000000002)"
node/3224995960,40.417826,-3.6812802,"(40.417825999999998, -3.6812801999999998)"
node/3225000513,40.4179871,-3.6811772,"(40.417987099999998, -3.6811772)"
node/3255591961,40.4174627,-3.6822922,"(40.417462700000002, -3.6822922)"
node/3255591962,40.4174841,-3.6821897,"(40.417484100000003, -3.6821896999999999)"
node/3255591963,40.4175054,-3.6820872,"(40.417505400000003, -3.6820871999999998)"
node/3255591964,40.41753,-3.6823519,"(40.417529999999999, -3.6823519)"
node/3255591965,40.4175362,-3.681935,"(40.417536200000001, -3.6819350000000002)"
node/3255591966,40.4175758,-3.6817465,"(40.417575800000002, -3.6817465)"
node/3255591967,40.4175584,-3.6822545,"(40.417558399999997, -3.6822545)"
node/3255591968,40.4176153,-3.6815579,"(40.417615300000001, -3.6815579)"
node/3255591969,40.4175768,-3.6821524,"(40.417576799999999, -3.6821524000000001)"
node/3255591972,40.4176379,-3.6818713,"(40.417637900000003, -3.6818713000000001)"
node/3255591974,40.417674,-3.6817199,"(40.417673999999998, -3.6817199)"
node/3255591975,40.4176549,-3.6813694,"(40.417654900000002, -3.6813693999999999)"
node/3255591976,40.4177102,-3.6815685,"(40.417710200000002, -3.6815685)"
node/3255591979,40.4177464,-3.6814171,"(40.417746399999999, -3.6814171)"
node/3273102461,40.5208024,-3.7802746,"(40.520802400000001, -3.7802745999999998)"
